date,Period,time,dir,spd
6/30/2020,0 to 24 h,13:00,140.9,3.2
6/30/2020,0 to 24 h,14:00,145.3,3.2
6/30/2020,0 to 24 h,15:00,144.2,3.3
6/30/2020,0 to 24 h,16:00,147.3,2.5
6/30/2020,0 to 24 h,17:00,133,2.1
6/30/2020,0 to 24 h,18:00,124.3,2.4
6/30/2020,0 to 24 h,19:00,120.6,2.1
6/30/2020,0 to 24 h,20:00,113.9,1.5
6/30/2020,0 to 24 h,21:00,108.5,1.8
6/30/2020,0 to 24 h,22:00,109.4,2
6/30/2020,0 to 24 h,23:00,112.5,1.6
6/30/2020,0 to 24 h,24:00:00,129.6,1
7/1/2020,0 to 24 h,1:00,137.2,0.1
7/1/2020,0 to 24 h,2:00,129.3,0.4
7/1/2020,0 to 24 h,3:00,98.7,1.2
7/1/2020,0 to 24 h,4:00,139,1
7/1/2020,0 to 24 h,5:00,107,0.3
7/1/2020,0 to 24 h,6:00,92.5,1.2
7/1/2020,0 to 24 h,7:00,123.2,1
7/1/2020,0 to 24 h,8:00,124.8,1.5
7/1/2020,0 to 24 h,9:00,120.5,1.8
7/1/2020,0 to 24 h,10:00,122.4,1.8
7/1/2020,0 to 24 h,11:00,113.4,2
7/1/2020,0 to 24 h,12:00,112.9,3
7/1/2020,24 to 48 h,13:00,108.6,3.5
7/1/2020,24 to 48 h,14:00,120.6,3.2
7/1/2020,24 to 48 h,15:00,114.5,2.7
7/1/2020,24 to 48 h,16:00,113,2.5
7/1/2020,24 to 48 h,17:00,90.8,2.8
7/1/2020,24 to 48 h,18:00,90,2.8
7/1/2020,24 to 48 h,19:00,98.8,2.5
7/1/2020,24 to 48 h,20:00,105.7,1.6
7/1/2020,24 to 48 h,21:00,86.2,1.1
7/1/2020,24 to 48 h,22:00,79.9,0.2
7/1/2020,24 to 48 h,23:00,284.9,0
7/1/2020,24 to 48 h,24:00:00,0,0
7/2/2020,24 to 48 h,1:00,285.2,0.1
7/2/2020,24 to 48 h,2:00,0,0
7/2/2020,24 to 48 h,3:00,342.1,0
7/2/2020,24 to 48 h,4:00,326.7,0.1
7/2/2020,24 to 48 h,5:00,325.1,0
7/2/2020,24 to 48 h,6:00,324.8,0
7/2/2020,24 to 48 h,7:00,325.8,0.5
7/2/2020,24 to 48 h,8:00,15.5,1.1
7/2/2020,24 to 48 h,9:00,51.3,1.1
7/2/2020,24 to 48 h,10:00,115.7,1.4
7/2/2020,24 to 48 h,11:00,112.2,2.2
7/2/2020,24 to 48 h,12:00,109.3,2.1
7/2/2020,48 to 72 h,13:00,102.6,1.6
7/2/2020,48 to 72 h,14:00,128.6,1
7/2/2020,48 to 72 h,15:00,232.9,0.6
7/2/2020,48 to 72 h,16:00,23.9,0.7
7/2/2020,48 to 72 h,17:00,352.3,0.9
7/2/2020,48 to 72 h,18:00,124.5,0.4
7/2/2020,48 to 72 h,19:00,305.2,0.3
7/2/2020,48 to 72 h,20:00,73.3,0.2
7/2/2020,48 to 72 h,21:00,80,0.3
7/2/2020,48 to 72 h,22:00,350.4,0.1
7/2/2020,48 to 72 h,23:00,0,0
7/2/2020,48 to 72 h,24:00:00,0,0
7/3/2020,48 to 72 h,1:00,352.7,0.2
7/3/2020,48 to 72 h,2:00,349.8,0.2
7/3/2020,48 to 72 h,3:00,349.1,0.2
7/3/2020,48 to 72 h,4:00,199.3,0.7
7/3/2020,48 to 72 h,5:00,275.3,0.3
7/3/2020,48 to 72 h,6:00,346.7,1.1
7/3/2020,48 to 72 h,7:00,304.1,0.2
7/3/2020,48 to 72 h,8:00,328.4,0.7
7/3/2020,48 to 72 h,9:00,341.9,1.4
7/3/2020,48 to 72 h,10:00,329.5,2
7/3/2020,48 to 72 h,11:00,348.6,2.3
7/3/2020,48 to 72 h,12:00,356.9,1.8
