site,dist,y
Nebraska,4,14000
Nebraska,8,5950
Nebraska,16,1514.5
Nebraska,30.5,255.5
Nebraska,45,101.9
Nebraska,60,67.6
Nebraska,75,51.6
Nebraska,90,43.1
Nebraska,105,40.7
Nebraska,120,44.8
Wisconsin,4,91.8
Wisconsin,7.9,26.9
Wisconsin,15.8,16.9
Wisconsin,30.8,7.9
Wisconsin,44.8,7.6
Michigan,4,490
Michigan,8,115.4
Michigan,16,36.7
Michigan,30.5,14.6
Michigan,45,11.1
Michigan,60,6.9
Michigan,75,3.7
Michigan,90,4.3
Michigan,105,1.9
Michigan,120,2.1
Indiana,7,101
Indiana,16.2,47
Indiana,30.5,25.7
Indiana,45.1,26.4
Indiana,60,23.5
Indiana,75,17.7
Indiana,89.9,13.4
Ontario,4,391.7
Ontario,8,203.5
Ontario,16,49.3
Ontario,31,22.2
Ontario,45,14.1
Ontario,60,10.8
Ontario,75,3.4
Ontario,90,6.2
Ontario,105,5
Arkansas,15.2,59
Arkansas,30.5,32.5
Arkansas,45.7,
Arkansas,61,
Arkansas,76.2,22.8
Arkansas,91.4,25.8
Arkansas,106.7,17.4
Arkansas,121.9,15.8
Arkansas,137.2,16.4
