site,direction,Transect,dist,y,
Nebraska,downwind,1,4,16000,
Nebraska,downwind,1,8,2880,
Nebraska,downwind,1,16,959,
Nebraska,downwind,1,31,199,
Nebraska,downwind,1,45,85.7,
Nebraska,downwind,1,60,66.7,
Nebraska,downwind,1,75,45.3,
Nebraska,downwind,1,90,45.6,
Nebraska,downwind,1,105,43.6,
Nebraska,downwind,1,120,59.1,
Nebraska,downwind,2,4,12000,
Nebraska,downwind,2,8,9020,
Nebraska,downwind,2,16,2070,
Nebraska,downwind,2,31,312,
Nebraska,downwind,2,45,118,
Nebraska,downwind,2,60,68.4,
Nebraska,downwind,2,75,57.8,
Nebraska,downwind,2,90,40.5,
Nebraska,downwind,2,105,37.7,
Nebraska,downwind,2,120,30.4,
Nebraska,upwind,4,31,3.02,
Nebraska,upwind,4,31,3.96,
Nebraska,upwind,4,31,10.3,
Wisconsin,downwind,1,4,36.2,
Wisconsin,downwind,1,8,15.3,
Wisconsin,downwind,1,16,12.4,
Wisconsin,downwind,1,31,10.1,
Wisconsin,downwind,1,45,8.73,
Wisconsin,downwind,2,4,141,
Wisconsin,downwind,2,8,30.3,
Wisconsin,downwind,2,16,15.6,
Wisconsin,downwind,2,31,9.53,
Wisconsin,downwind,2,45,6.57,
Wisconsin,downwind,3,4,98.1,
Wisconsin,downwind,3,8,35.2,
Wisconsin,downwind,3,16,22.7,
Wisconsin,downwind,3,31,4.1,
Wisconsin,downwind,3,45,7.56,
Wisconsin,upwind,4,4,1.14,
Wisconsin,upwind,4,8,0.8,
Wisconsin,upwind,4,16,1.58,
Wisconsin,upwind,4,31,1.65,
Wisconsin,upwind,4,45,1.2,
Michigan,downwind,1,4,1180,
Michigan,downwind,1,8,276,
Michigan,downwind,1,16,55.4,
Michigan,downwind,1,31,29.3,
Michigan,downwind,1,45,24,
Michigan,downwind,1,60,14.4,
Michigan,downwind,1,75,8.29,
Michigan,downwind,1,90,7.69,
Michigan,downwind,1,105,5.57,
Michigan,downwind,1,120,6.33,
Michigan,downwind,2,4,14.9,
Michigan,downwind,2,8,9.96,
Michigan,downwind,2,16,16,
Michigan,downwind,2,31,4.17,
Michigan,downwind,2,45,6.9,
Michigan,downwind,2,60,5.17,
Michigan,downwind,2,75,1.49,
Michigan,downwind,2,90,2.05,
Michigan,downwind,2,105,0,
Michigan,downwind,2,120,0,
Michigan,downwind,3,4,275,
Michigan,downwind,3,8,60.1,
Michigan,downwind,3,16,38.7,
Michigan,downwind,3,31,10.4,
Michigan,downwind,3,45,2.49,
Michigan,downwind,3,60,1.27,
Michigan,downwind,3,75,1.29,
Michigan,downwind,3,90,3.04,
Michigan,downwind,3,105,0,
Michigan,downwind,3,120,0,
Michigan,upwind,4,8,0,
Michigan,upwind,4,30,3.12,
Michigan,upwind,5,8,1.44,
Michigan,upwind,5,30,0,
Michigan,upwind,6,8,0,
Michigan,upwind,6,30,1.15,
Indiana,downwind,1,4,64.1,
Indiana,downwind,2,4,0.54,
Indiana,downwind,3,4,5.38,23.34
Indiana,downwind,1,7,101,
Indiana,downwind,2,7,6.48,
Indiana,downwind,3,7,6.65,38.04
Indiana,downwind,1,16,47,
Indiana,downwind,2,16,8.27,
Indiana,downwind,3,16,9.31,21.52
Indiana,downwind,1,30,25.7,
Indiana,downwind,2,30,1.36,
Indiana,downwind,3,30,11.1,12.72
Indiana,downwind,1,45,26.4,
Indiana,downwind,2,45,1.36,
Indiana,downwind,3,45,14.5,14.08
Indiana,downwind,1,60,23.5,
Indiana,downwind,2,60,1.12,
Indiana,downwind,3,60,2.02,8.88
Indiana,downwind,1,75,17.7,
Indiana,downwind,2,75,1,
Indiana,downwind,3,75,1.22,6.64
Indiana,downwind,1,90,13.4,
Indiana,downwind,2,90,1.12,
Indiana,downwind,3,90,3.85,6.12
Indiana,upwind,4,,1.73,
Indiana,upwind,4,,2.15,
Indiana,upwind,4,,1.01,
Ontario,downwind,1,4,814,
Ontario,downwind,1,8,280,
Ontario,downwind,1,16,55,
Ontario,downwind,1,31,18.3,
Ontario,downwind,1,45,4.79,
Ontario,downwind,1,60,7.46,
Ontario,downwind,1,75,0,
Ontario,downwind,1,90,5.02,
Ontario,downwind,1,105,3.25,
Ontario,downwind,2,4,216,
Ontario,downwind,2,8,127,
Ontario,downwind,2,16,51.4,
Ontario,downwind,2,31,36.4,
Ontario,downwind,2,45,26.2,
Ontario,downwind,2,60,9.02,
Ontario,downwind,2,75,5.74,
Ontario,downwind,2,90,10.7,
Ontario,downwind,2,105,6.69,
Ontario,downwind,3,4,145,
Ontario,downwind,3,8,,
Ontario,downwind,3,16,41.5,
