,site,dist,p,pmin,pmax
1,Indiana,3,30.58596298,7.652925385,53.51900058
2,Indiana,3.107848067,30.54109096,7.840230568,53.24195135
3,Indiana,3.219573203,30.49387458,8.030630559,52.9571186
4,Indiana,3.335314785,30.44419943,8.223791407,52.66460744
5,Indiana,3.455217203,30.39194637,8.419327367,52.36456538
6,Indiana,3.579430035,30.33699151,8.616796519,52.0571865
7,Indiana,3.708108239,30.27920604,8.815696275,51.74271581
8,Indiana,3.841412341,30.21845623,9.015458803,51.42145365
9,Indiana,3.979508639,30.15460333,9.215446468,51.09376019
10,Indiana,4.122569411,30.08750356,9.414947366,50.76005975
11,Indiana,4.270773125,30.01700806,9.613171074,50.42084506
12,Indiana,4.424304668,29.94296293,9.809244779,50.07668109
13,Indiana,4.58335557,29.86520921,10.00220995,49.72820847
14,Indiana,4.74812425,29.78358295,10.19101982,49.37614607
15,Indiana,4.918816257,29.6979153,10.37453788,49.02129272
16,Indiana,5.095644532,29.60803263,10.55153776,48.66452749
17,Indiana,5.27882967,29.51375665,10.72070485,48.30680845
18,Indiana,5.468600196,29.41490464,10.88063998,47.94916931
19,Indiana,5.66519285,29.31128969,11.02986573,47.59271365
20,Indiana,5.868852883,29.20272093,11.16683566,47.23860621
21,Indiana,6.079834363,29.08900395,11.28994698,46.88806092
22,Indiana,6.298400491,28.96994114,11.39755706,46.54232521
23,Indiana,6.52482393,28.84533215,11.48800395,46.20266035
24,Indiana,6.759387147,28.71497444,11.55963121,45.87031766
25,Indiana,7.00238276,28.57866383,11.61081696,45.54651071
26,Indiana,7.254113908,28.43619521,11.64000669,45.23238373
27,Indiana,7.51489463,28.28736321,11.64574948,44.92897694
28,Indiana,7.78505025,28.13196307,11.62673639,44.63718976
29,Indiana,8.064917791,27.96979151,11.58183991,44.35774311
30,Indiana,8.354846389,27.8006477,11.51015284,44.09114257
31,Indiana,8.655197734,27.62433434,11.41102465,43.83764403
32,Indiana,8.966346516,27.44065877,11.28409365,43.59722389
33,Indiana,9.288680896,27.24943425,11.12931298,43.36955551
34,Indiana,9.62260299,27.0504812,10.94696887,43.15399354
35,Indiana,9.968529368,26.84362866,10.73768997,42.94956735
36,Indiana,10.32689158,26.62871569,10.50244717,42.75498422
37,Indiana,10.69813667,26.40559294,10.2425436,42.56864229
38,Indiana,11.0827278,26.17412421,9.959595473,42.38865296
39,Indiana,11.48114472,25.93418811,9.655504513,42.21287171
40,Indiana,11.89388447,25.68567974,9.332423406,42.03893606
41,Indiana,12.32146196,25.42851236,8.992715681,41.86430904
42,Indiana,12.76441058,25.16261919,8.638911624,41.68632676
43,Indiana,13.22328291,24.88795504,8.273661729,41.50224835
44,Indiana,13.69865141,24.60449804,7.899689007,41.30930708
45,Indiana,14.19110911,24.3122513,7.51974127,41.10476133
46,Indiana,14.70127034,24.01124446,7.136544286,40.88594463
47,Indiana,15.22977153,23.70153518,6.752756438,40.65031393
48,Indiana,15.77727201,23.38321057,6.37092537,40.39549578
49,Indiana,16.34445477,23.05638837,5.993446945,40.1193298
50,Indiana,16.93202739,22.72121805,5.622526727,39.81990937
51,Indiana,17.54072287,22.3778817,5.260144206,39.49561919
52,Indiana,18.17130055,22.0265947,4.908019918,39.14516949
53,Indiana,18.8245471,21.66760618,4.567585696,38.76762666
54,Indiana,19.50127744,21.30119915,4.239958315,38.36243999
55,Indiana,20.2023358,20.92769047,3.925916879,37.92946406
56,Indiana,20.92859675,20.54743042,3.625884383,37.46897646
57,Indiana,21.68096632,20.16080203,3.339913985,36.98169008
58,Indiana,22.46038309,19.76822009,3.067680634,36.46875954
59,Indiana,23.2678194,19.3701298,2.808478786,35.93178081
60,Indiana,24.10428251,18.96700519,2.561227054,35.37278332
61,Indiana,24.97081594,18.55934715,2.32448073,34.79421356
62,Indiana,25.86850068,18.14768121,2.096453155,34.19890927
63,Indiana,26.79845661,17.73255507,1.875046958,33.59006318
64,Indiana,27.76184386,17.31453577,1.657896061,32.97117549
65,Indiana,28.75986426,16.89420678,1.442419206,32.34599434
66,Indiana,29.79376286,16.47216474,1.22588536,31.71844411
67,Indiana,30.86482943,16.04901618,1.005490799,31.09254157
68,Indiana,31.97440017,15.62537406,0.778446846,30.47230127
69,Indiana,33.12385925,15.20185416,0.542076175,29.86163214
70,Indiana,34.31464065,14.77907158,0.293914367,29.26422879
