"","site","dist","p","pmin","pmax"
"1","Michigan",4,488.888388842978,286.152147422838,691.624630263119
"2","Michigan",4.11527980973948,463.033478047024,272.524547448658,653.542408645389
"3","Michigan",4.23388197811236,438.410972811878,250.6509147368,626.171030886956
"4","Michigan",4.35590225533641,414.97621071685,224.295924071467,605.656497362232
"5","Michigan",4.48143915114615,392.684645884567,196.434220610723,588.935071158412
"6","Michigan",4.61059401432195,371.492039600486,168.986077579009,573.998001621964
"7","Michigan",4.7434711145112,351.354628746689,143.01639961924,559.692857874139
"8","Michigan",4.8801777264076,332.229273219798,119.025891969851,545.432654469744
"9","Michigan",5.02082421635638,314.073583590951,97.179324274619,530.967842907283
"10","Michigan",5.16552413145562,296.846030321585,77.4538671607065,516.238193482464
"11","Michigan",5.31439429122534,280.506035876568,59.7287366165047,501.283335136632
"12","Michigan",5.4675548819186,265.014051080477,43.8377866658813,486.190315495073
"13","Michigan",5.62512955355054,250.331617047315,29.599861198054,471.063372896577
"14","Michigan",5.78724551972385,236.421413982479,16.8359516320444,456.006876332913
"15","Michigan",5.95403366033121,223.247298111576,5.37849754027383,441.116098682879
"16","Michigan",6.12562862721757,210.774327936697,-4.9240302147912,426.472686088185
"17","Michigan",6.30216895288766,198.968780959515,-14.2053947633134,412.142956682344
"18","Michigan",6.4837971623464,187.798161944444,-22.5815723711013,398.17789625999
"19","Michigan",6.67065988816257,177.231203725783,-30.1517407111339,384.614148162699
"20","Michigan",6.86290798884862,167.237861492094,-36.9998281293184,371.475551113506
"21","Michigan",7.06069667065213,157.789301410189,-43.1963331333029,358.77493595368
"22","Michigan",7.26418561285737,148.857884381154,-48.8002231728578,346.515991935166
"23","Michigan",7.47353909669799,140.417145652757,-53.860787687108,334.695078992623
"24","Michigan",7.68892613798497,132.441770946857,-58.4193657141938,323.302907607908
"25","Michigan",7.91052062355693,124.90756969776,-62.5109006215489,312.326040017069
"26","Michigan",8.1385014516629,117.79144593802,-66.1652979672075,301.748189843248
"27","Michigan",8.37305267639095,111.071367312307,-69.4085795828889,291.551314207504
"28","Michigan",8.6143636562592,104.726332647761,-72.2638391494497,281.716504444972
"29","Michigan",8.86262920708926,98.7363384607212,-74.7520128128368,272.224689734279
"30","Michigan",9.11804975928547,93.0823447349352,-76.8924835276925,263.057172997563
