"","site","dist","p","pmin","pmax"
"1","Ontario",2,490.586532851486,-177.623171702919,1158.79623740589
"2","Ontario",2.06955969157751,488.008150015828,-156.146959747497,1132.16325977915
"3","Ontario",2.14153865850121,485.251617033646,-133.939724709843,1104.44295877714
"4","Ontario",2.21602104279454,482.307031767847,-111.037721301194,1075.65178483689
"5","Ontario",2.29309391292758,479.164309316856,-87.4881668678956,1045.81678550161
"6","Ontario",2.37284736559834,475.813240243079,-63.3506341726626,1014.97711465882
"7","Ontario",2.45537463105411,472.243559436993,-38.698606010906,983.185724884893
"8","Ontario",2.5407721820758,468.445026327729,-13.6212435054862,950.511296160943
"9","Ontario",2.62913984675276,464.407517024869,11.7745484208046,917.040485628934
"10","Ontario",2.7205809251799,460.121128801873,37.3616246051018,882.880632998644
"11","Ontario",2.81520231021349,455.576297103154,62.989459159741,848.163135046568
"12","Ontario",2.91311461242687,450.763924970068,88.4800240919454,813.04782584819
"13","Ontario",3.01443228941205,445.675524432837,113.622160418661,777.728888447013
"14","Ontario",3.11927377957845,440.303369005584,138.163635224194,742.443102786974
"15","Ontario",3.2277616406051,434.640655952758,161.799700545526,707.48161135999
"16","Ontario",3.34002269270821,428.68167647437,184.156576354656,673.206776594084
"17","Ontario",3.45618816689156,422.42199139592,204.76826699212,640.075715799721
"18","Ontario",3.57639385835297,415.8586093638,223.046813135263,608.670405592336
"19","Ontario",3.70078028522635,408.990163960506,238.253026539217,579.727301381794
"20","Ontario",3.82949285284459,401.817085594534,249.493778344263,554.140392844805
"21","Ontario",3.96268202371568,394.341763520115,255.806315470949,532.877211569281
"22","Ontario",4.10050349341039,386.568692939212,256.406029655811,516.731356222613
"23","Ontario",4.24311837256746,378.504601871312,251.067688435273,505.94151530735
"24","Ontario",4.3906933752288,370.158552384318,240.373352699946,499.943752068689
"25","Ontario",4.54340101372498,361.542010897671,225.553941130988,497.530080664354
"26","Ontario",4.70141980033882,352.668882625242,208.054282678299,497.283482572185
"27","Ontario",4.86493445598281,343.55550583885,189.175959066487,497.935052611213
"28","Ontario",5.03413612613431,334.220602507942,169.938635701248,498.502569314636
"29","Ontario",5.20922260428087,324.685182994991,151.085996875886,498.284369114096
"30","Ontario",5.39039856313707,314.972403829365,133.139864827034,496.804942831697
"31","Ontario",5.57787579390292,305.107379095957,116.454641048035,493.760117143879
"32","Ontario",5.7718734538437,295.116947592952,101.258872905979,488.975022279925
"33","Ontario",5.97261832248061,285.029399556031,87.6842280010346,482.374571111028
"34","Ontario",6.18034506669159,274.874168325463,75.7852971133724,473.963039537554
"35","Ontario",6.39529651503243,264.681493756844,65.5534194647388,463.809568048949
"36","Ontario",6.61772394159864,254.482065359229,56.9268255044538,452.037305214004
"37","Ontario",6.84788735976,244.306654011443,49.7985966351121,438.814711387775
"38","Ontario",7.08605582611124,234.185741602432,44.0233839179021,424.348099286963
"39","Ontario",7.33250775499391,224.149158031964,39.4234806785912,408.874835385338
"40","Ontario",7.58753124395747,214.225734687925,35.7946580871882,392.656811288662
"41","Ontario",7.85142441053969,204.442982806916,32.9121102998546,375.973855313978
"42","Ontario",8.12449574076035,194.82680407223,30.5368872889314,359.116720855528
"43","Ontario",8.40706444973541,185.401239474691,28.4232828557518,342.37919609363
"44","Ontario",8.69946085483335,176.188260939524,26.3277260088945,326.048795870153
"45","Ontario",9.00202676180978,167.207608596207,24.0196746042018,310.395542588211
"46","Ontario",9.31511586437179,158.476674928849,21.2946542169731,295.658695640724
"47","Ontario",9.63909415763905,150.010435476212,17.9887635963387,282.032107356084
"48","Ontario",9.97434036598505,141.821424325515,13.992725619743,269.650123031287
"49","Ontario",10.3212463857586,133.919751419204,9.26236938442069,258.577133453988
"50","Ontario",10.680217743403,126.31315770728,3.82215016837456,248.804165246186
"51","Ontario",11.051674069509,119.007103449484,-2.24035000048548,240.254556899453
"52","Ontario",11.4360495893541,112.004884504052,-8.78831794242397,232.798086950528
"53","Ontario",11.8337936305044,105.307771220281,-15.6547227836291,226.270265224191
"54","Ontario",12.2453711480693,98.9151645562767,-22.6620086144966,220.49233772705
"55","Ontario",12.6712632682253,92.8247642381965,-29.6387495700853,215.288278046478
"56","Ontario",13.1119678506429,87.0327441253093,-36.4313509697566,210.496839220375
"57","Ontario",13.5680000704754,81.5339304070804,-42.9106406076891,205.97850142185
"58","Ontario",14.0398930205884,76.321978796102,-48.9742735480995,201.618231140303
"59","Ontario",14.5281983347351,71.3895474590567,-54.546230218218,197.325325136331
"60","Ontario",15.0334868324057,66.7284630167021,-59.5745828585771,193.031508891981
"61","Ontario",15.556349186104,62.3298775181325,-64.0284163225518,188.688171358817
"62","Ontario",16.0973966118328,58.1844148350051,-67.8944891491216,184.263318819132
"63","Ontario",16.6572615835928,54.2823054142039,-71.1739821902854,179.738593018693
