Distance,Transect,DAT,Injury
0,A,14,40
1,A,14,35
1.7,A,14,30
2.5,A,14,30
3,A,14,25
4,A,14,30
8,A,14,5
16,A,14,0
30.5,A,14,0
45,A,14,0
60,A,14,0
75,A,14,0
90,A,14,0
105,A,14,0
120,A,14,0
0,B,14,3
1,B,14,7
1.7,B,14,3
2.5,B,14,0
3,B,14,3
4,B,14,10
8,B,14,7
16,B,14,0
30.5,B,14,0
45,B,14,0
60,B,14,0
75,B,14,0
90,B,14,3
105,B,14,0
120,B,14,0
0,C,14,30
1,C,14,28
1.7,C,14,25
2.5,C,14,30
3,C,14,25
4,C,14,15
8,C,14,5
16,C,14,5
30.5,C,14,0
45,C,14,0
60,C,14,0
75,C,14,0
90,C,14,0
105,C,14,0
120,C,14,0
0,A,21,50
1,A,21,45
1.7,A,21,55
2.5,A,21,55
3,A,21,50
4,A,21,50
8,A,21,45
16,A,21,3
30.5,A,21,0
45,A,21,0
60,A,21,0
75,A,21,0
90,A,21,0
105,A,21,0
120,A,21,0
0,B,21,17
1,B,21,17
1.7,B,21,10
2.5,B,21,8
3,B,21,5
4,B,21,12
8,B,21,5
16,B,21,5
30.5,B,21,3
45,B,21,0
60,B,21,0
75,B,21,6
90,B,21,8
105,B,21,0
120,B,21,0
0,C,21,40
1,C,21,35
1.7,C,21,30
2.5,C,21,25
3,C,21,25
4,C,21,25
8,C,21,20
16,C,21,10
30.5,C,21,0
45,C,21,0
60,C,21,0
75,C,21,0
90,C,21,0
105,C,21,0
120,C,21,0
