State,Direction,Transect,Distance (m),Deposition (g filter-1) 
Arkansas,downwind,1,15,59.28
Arkansas,downwind,1,30,14.88
Arkansas,downwind,1,46,7.98
Arkansas,downwind,1,61,4.86
Arkansas,downwind,1,76,8.68
Arkansas,downwind,1,91,
Arkansas,downwind,1,107,
Arkansas,downwind,1,122,8.68
Arkansas,downwind,1,137,
Arkansas,downwind,2,15,58.78
Arkansas,downwind,2,30,50.08
Arkansas,downwind,2,46,
Arkansas,downwind,2,61,
Arkansas,downwind,2,76,34.78
Arkansas,downwind,2,91,32.18
Arkansas,downwind,2,107,
Arkansas,downwind,2,122,17.18
Arkansas,downwind,2,137,
Arkansas,downwind,3,15,
Arkansas,downwind,3,30,
Arkansas,downwind,3,46,185.28
Arkansas,downwind,3,61,75.38
Arkansas,downwind,3,76,25.08
Arkansas,downwind,3,91,19.38
Arkansas,downwind,3,107,17.38
Arkansas,downwind,3,122,21.48
Arkansas,downwind,3,137,16.38
Indiana,downwind,1,4,64.10
Indiana,downwind,2,4,0.54
Indiana,downwind,3,4,5.38
Indiana,downwind,1,7,101.00
Indiana,downwind,2,7,6.48
Indiana,downwind,3,7,6.65
Indiana,downwind,1,16,47.00
Indiana,downwind,2,16,8.27
Indiana,downwind,3,16,9.31
Indiana,downwind,1,30,25.70
Indiana,downwind,2,30,1.36
Indiana,downwind,3,30,11.10
Indiana,downwind,1,45,26.40
Indiana,downwind,2,45,1.36
Indiana,downwind,3,45,14.50
Indiana,downwind,1,60,23.50
Indiana,downwind,2,60,1.12
Indiana,downwind,3,60,2.02
Indiana,downwind,1,75,17.70
Indiana,downwind,2,75,1.00
Indiana,downwind,3,75,1.22
Indiana,downwind,1,90,13.40
Indiana,downwind,2,90,1.12
Indiana,downwind,3,90,3.85
Indiana,upwind,4,,1.73
Indiana,upwind,4,,2.15
Indiana,upwind,4,,1.01
Michigan,downwind,1,4,1180.00
Michigan,downwind,1,8,276.00
Michigan,downwind,1,16,55.40
Michigan,downwind,1,31,29.30
Michigan,downwind,1,45,24.00
Michigan,downwind,1,60,14.40
Michigan,downwind,1,75,8.29
Michigan,downwind,1,90,7.69
Michigan,downwind,1,105,5.57
Michigan,downwind,1,120,6.33
Michigan,downwind,2,4,14.90
Michigan,downwind,2,8,9.96
Michigan,downwind,2,16,16.00
Michigan,downwind,2,31,4.17
Michigan,downwind,2,45,6.90
Michigan,downwind,2,60,5.17
Michigan,downwind,2,75,1.49
Michigan,downwind,2,90,2.05
Michigan,downwind,2,105,0.00
Michigan,downwind,2,120,0.00
Michigan,downwind,3,4,275.00
Michigan,downwind,3,8,60.10
Michigan,downwind,3,16,38.70
Michigan,downwind,3,31,10.40
Michigan,downwind,3,45,2.49
Michigan,downwind,3,60,1.27
Michigan,downwind,3,75,1.29
Michigan,downwind,3,90,3.04
Michigan,downwind,3,105,0.00
Michigan,downwind,3,120,0.00
