State,Direction,Type,Site location,Distance (m),Height (cm),DAT
Arkansas,Downwind,Non-covered,East 1,15.2,84,22
Arkansas,Downwind,Non-covered,East 1,15.2,80,22
Arkansas,Downwind,Non-covered,East 1,15.2,83,22
Arkansas,Downwind,Non-covered,East 1,15.2,82,22
Arkansas,Downwind,Non-covered,East 1,15.2,89,22
Arkansas,Downwind,Non-covered,East 1,15.2,96,22
Arkansas,Downwind,Non-covered,East 1,15.2,86,22
Arkansas,Downwind,Non-covered,East 1,15.2,95,22
Arkansas,Downwind,Non-covered,East 1,15.2,91,22
Arkansas,Downwind,Non-covered,East 1,15.2,92,22
Arkansas,Downwind,Non-covered,East 1,30.5,84,22
Arkansas,Downwind,Non-covered,East 1,30.5,79,22
Arkansas,Downwind,Non-covered,East 1,30.5,81,22
Arkansas,Downwind,Non-covered,East 1,30.5,78,22
Arkansas,Downwind,Non-covered,East 1,30.5,89,22
Arkansas,Downwind,Non-covered,East 1,30.5,77,22
Arkansas,Downwind,Non-covered,East 1,30.5,78,22
Arkansas,Downwind,Non-covered,East 1,30.5,82,22
Arkansas,Downwind,Non-covered,East 1,30.5,76,22
Arkansas,Downwind,Non-covered,East 1,30.5,79,22
Arkansas,Downwind,Non-covered,East 1,45.7,81,22
Arkansas,Downwind,Non-covered,East 1,45.7,79,22
Arkansas,Downwind,Non-covered,East 1,45.7,87,22
Arkansas,Downwind,Non-covered,East 1,45.7,78,22
Arkansas,Downwind,Non-covered,East 1,45.7,93,22
Arkansas,Downwind,Non-covered,East 1,45.7,91,22
Arkansas,Downwind,Non-covered,East 1,45.7,90,22
Arkansas,Downwind,Non-covered,East 1,45.7,95,22
Arkansas,Downwind,Non-covered,East 1,45.7,79,22
Arkansas,Downwind,Non-covered,East 1,45.7,79,22
Arkansas,Downwind,Non-covered,East 1,61,91,22
Arkansas,Downwind,Non-covered,East 1,61,77,22
Arkansas,Downwind,Non-covered,East 1,61,89,22
Arkansas,Downwind,Non-covered,East 1,61,77,22
Arkansas,Downwind,Non-covered,East 1,61,78,22
Arkansas,Downwind,Non-covered,East 1,61,82,22
Arkansas,Downwind,Non-covered,East 1,61,91,22
Arkansas,Downwind,Non-covered,East 1,61,85,22
Arkansas,Downwind,Non-covered,East 1,61,77,22
Arkansas,Downwind,Non-covered,East 1,61,81,22
Arkansas,Downwind,Non-covered,East 1,76.2,91,22
Arkansas,Downwind,Non-covered,East 1,76.2,90,22
Arkansas,Downwind,Non-covered,East 1,76.2,90,22
