State,Direction,Type,Site location,Distance (m),Injury (%),DAT
Arkansas,Downwind,Non-covered,East Transect 1,15.2,50,22
Arkansas,Downwind,Non-covered,East Transect 1,30.5,45,22
Arkansas,Downwind,Non-covered,East Transect 1,45.7,45,22
Arkansas,Downwind,Non-covered,East Transect 1,61,30,22
Arkansas,Downwind,Non-covered,East Transect 1,76.2,20,22
Arkansas,Downwind,Non-covered,East Transect 1,91.4,10,22
Arkansas,Downwind,Non-covered,East Transect 1,106.7,10,22
Arkansas,Downwind,Non-covered,East Transect 1,121.9,10,22
Arkansas,Downwind,Non-covered,East Transect 1,137.2,5,22
Arkansas,Downwind,Non-covered,East Transect 1,152.4,5,22
Arkansas,Downwind,Non-covered,East Transect 1,167.6,5,22
Arkansas,Downwind,Non-covered,East Transect 1,182.9,2,22
Arkansas,Downwind,Non-covered,East Transect 1,198.1,0,22
Arkansas,Downwind,Non-covered,East Transect 1,213.4,0,22
Arkansas,Downwind,Non-covered,East Transect 1,228.6,0,22
Arkansas,Downwind,Non-covered,East Transect 1,243.8,0,22
Arkansas,Downwind,Non-covered,East Transect 1,259.1,0,22
Arkansas,Downwind,Non-covered,East Transect 2,15.2,50,22
Arkansas,Downwind,Non-covered,East Transect 2,30.5,45,22
Arkansas,Downwind,Non-covered,East Transect 2,45.7,45,22
Arkansas,Downwind,Non-covered,East Transect 2,61,30,22
Arkansas,Downwind,Non-covered,East Transect 2,76.2,20,22
Arkansas,Downwind,Non-covered,East Transect 2,91.4,20,22
Arkansas,Downwind,Non-covered,East Transect 2,106.7,10,22
Arkansas,Downwind,Non-covered,East Transect 2,121.9,10,22
Arkansas,Downwind,Non-covered,East Transect 2,137.2,10,22
Arkansas,Downwind,Non-covered,East Transect 2,152.4,10,22
Arkansas,Downwind,Non-covered,East Transect 2,167.6,5,22
Arkansas,Downwind,Non-covered,East Transect 2,182.9,5,22
Arkansas,Downwind,Non-covered,East Transect 2,198.1,5,22
Arkansas,Downwind,Non-covered,East Transect 2,213.4,5,22
Arkansas,Downwind,Non-covered,East Transect 2,228.6,5,22
Arkansas,Downwind,Non-covered,East Transect 2,243.8,2,22
Arkansas,Downwind,Non-covered,East Transect 2,259.1,2,22
Arkansas,Downwind,Non-covered,East Transect 3,15.2,50,22
Arkansas,Downwind,Non-covered,East Transect 3,30.5,35,22
Arkansas,Downwind,Non-covered,East Transect 3,45.7,30,22
Arkansas,Downwind,Non-covered,East Transect 3,61,20,22
