Location,Time,Type,Flux,y
Wisconsin,4,aerodnamic,0.0008,0.8393
Wisconsin,8,aerodnamic,0.0014,1.3627
Wisconsin,20.5,aerodnamic,0.0001,0.089
Wisconsin,32,aerodnamic,0.0008,0.7699
Wisconsin,44,aerodnamic,0,0.0361
Wisconsin,55,aerodnamic,0.0002,0.1837
Nebraska,6,aerodnamic,0.0055,5.5329
Nebraska,10.5,aerodnamic,0.0072,7.183
Nebraska,22.5,aerodnamic,0.0003,0.3109
Nebraska,34.5,aerodnamic,0.0015,1.5388
Nebraska,46.5,aerodnamic,0.0001,0.1483
Nebraska,56.5,aerodnamic,0.0007,0.7003
Michigan,4,aerodnamic,0,0.0289
Michigan,8,aerodnamic,0.0003,0.2812
Michigan,20,aerodnamic,0,0.0414
Michigan,32,aerodnamic,0.0002,0.184
Michigan,44,aerodnamic,0,0.0054
Michigan,56,aerodnamic,0,0.0051
Michigan,68,aerodnamic,0,0.0021
Indiana,6,aerodnamic,0.0001,0.1238
Indiana,18,aerodnamic,0,0.0173
Indiana,29.5,aerodnamic,0.0006,0.618
Indiana,41.5,aerodnamic,0,0.018
Indiana,54,aerodnamic,0.0001,0.0977
Indiana,65.5,aerodnamic,0,0.0002
Indiana,78,aerodnamic,0,0.0067
Ontario,5,aerodnamic,0,0.0217
Ontario,18,aerodnamic,0,0.0466
Ontario,30,aerodnamic,0.0001,0.0634
Ontario,42,aerodnamic,0,0
Ontario,54,aerodnamic,0,0.0019
Ontario,66,aerodnamic,0,0
Arkansas,4.5,aerodnamic,0,0.0135
Arkansas,17.5,aerodnamic,0,0
Arkansas,28.5,aerodnamic,0,0
Arkansas,41.5,aerodnamic,0,0
Arkansas,52,aerodnamic,0,0
Arkansas,64.5,aerodnamic,0,0
Wisconsin,4,integrated,0.0004386,0.4385856
Wisconsin,8,integrated,0.0003609,0.3609091
Wisconsin,20.5,integrated,0.0000693,0.0693289
Wisconsin,32,integrated,0.0001707,0.170671
Wisconsin,44,integrated,0.000047,0.0469813
Wisconsin,55,integrated,0.0000549,0.0548818
Nebraska,6,integrated,0,0
Nebraska,10.5,integrated,0.007705,7.704784
Nebraska,22.5,integrated,0.000671,0.670559
Nebraska,34.5,integrated,0.000974,0.97395
Nebraska,46.5,integrated,0.000502,0.501584
Nebraska,56.5,integrated,0.001481,1.480722
Michigan,4,integrated,2.89E-05,2.89E-02
Michigan,8,integrated,2.81E-04,2.81E-01
Michigan,20,integrated,4.14E-05,4.14E-02
Michigan,32,integrated,1.84E-04,1.84E-01
Michigan,44,integrated,5.41E-06,5.41E-03
Michigan,56,integrated,5.10E-06,5.10E-03
Michigan,68,integrated,2.09E-06,2.09E-03
Indiana,6,integrated,0.000113,0.112747
Indiana,18,integrated,0.000006,0.006187
Indiana,29.5,integrated,0.000027,0.027021
Indiana,41.5,integrated,0.000002,0.002354
Indiana,54,integrated,0,0.000114
Indiana,65.5,integrated,0,0.000355
Indiana,78,integrated,0.000007,0.006698
Ontario,5,integrated,0.000166,0.165955
Ontario,18,integrated,0.000009,0.009008
Ontario,30,integrated,0.000064,0.064072
Ontario,42,integrated,0,0
Ontario,54,integrated,0.000007,0.006715
Ontario,66,integrated,0,0
Arkansas,4.5,integrated,0.0000135,0.0135026
Arkansas,17.5,integrated,0,0
Arkansas,28.5,integrated,0,0
Arkansas,41.5,integrated,0,0
Arkansas,52,integrated,0,0
Arkansas,64.5,integrated,0,0
