state,location,wind,distance,rep,height
Nebraska,Cover 1,downwind,5,1,60
Nebraska,Cover 1,downwind,6,1,53
Nebraska,Cover 1,downwind,8,1,51
Nebraska,Cover 1,downwind,9,1,58
Nebraska,Cover 1,downwind,11,1,48
Nebraska,Cover 1,downwind,12,1,46
Nebraska,Cover 1,downwind,14,1,46
Nebraska,Cover 1,downwind,15,1,58
Nebraska,Cover 1,downwind,17,1,
Nebraska,Cover 1,downwind,18,1,
Nebraska,Cover 1,downwind,20,1,
Nebraska,Cover 2,downwind,5,1,64
Nebraska,Cover 2,downwind,6,1,60
Nebraska,Cover 2,downwind,8,1,56
Nebraska,Cover 2,downwind,9,1,61
Nebraska,Cover 2,downwind,11,1,61
Nebraska,Cover 2,downwind,12,1,76
Nebraska,Cover 2,downwind,14,1,66
Nebraska,Cover 2,downwind,15,1,58
Nebraska,Cover 2,downwind,17,1,
Nebraska,Cover 2,downwind,18,1,
Nebraska,Cover 2,downwind,20,1,
Nebraska,Cover 3,downwind,5,1,58
Nebraska,Cover 3,downwind,6,1,55
Nebraska,Cover 3,downwind,8,1,56
Nebraska,Cover 3,downwind,9,1,61
Nebraska,Cover 3,downwind,11,1,66
Nebraska,Cover 3,downwind,12,1,61
Nebraska,Cover 3,downwind,14,1,65
Nebraska,Cover 3,downwind,15,1,64
Nebraska,Cover 3,downwind,17,1,
Nebraska,Cover 3,downwind,18,1,
Nebraska,Cover 3,downwind,20,1,
Nebraska,Uncover 1,downwind,5,1,28
Nebraska,Uncover 1,downwind,6,1,30
Nebraska,Uncover 1,downwind,8,1,58
Nebraska,Uncover 1,downwind,9,1,33
Nebraska,Uncover 1,downwind,11,1,55
Nebraska,Uncover 1,downwind,12,1,58
Nebraska,Uncover 1,downwind,14,1,61
Nebraska,Uncover 1,downwind,15,1,58
Nebraska,Uncover 1,downwind,17,1,
Nebraska,Uncover 1,downwind,18,1,
Nebraska,Uncover 1,downwind,20,1,
Nebraska,Uncover 2,downwind,5,1,23
Nebraska,Uncover 2,downwind,6,1,30
Nebraska,Uncover 2,downwind,8,1,60
Nebraska,Uncover 2,downwind,9,1,53
Nebraska,Uncover 2,downwind,11,1,56
Nebraska,Uncover 2,downwind,12,1,58
Nebraska,Uncover 2,downwind,14,1,71
Nebraska,Uncover 2,downwind,15,1,61
Nebraska,Uncover 2,downwind,17,1,
Nebraska,Uncover 2,downwind,18,1,
Nebraska,Uncover 2,downwind,20,1,
Nebraska,Uncover 3,downwind,5,1,
Nebraska,Uncover 3,downwind,6,1,22
Nebraska,Uncover 3,downwind,8,1,24
Nebraska,Uncover 3,downwind,9,1,46
Nebraska,Uncover 3,downwind,11,1,53
Nebraska,Uncover 3,downwind,12,1,53
Nebraska,Uncover 3,downwind,14,1,56
Nebraska,Uncover 3,downwind,15,1,64
Nebraska,Uncover 3,downwind,17,1,57
Nebraska,Uncover 3,downwind,18,1,56
Nebraska,Uncover 3,downwind,20,1,57
Michigan,Cover A,downwind,0,1,45
Michigan,Cover A,downwind,0.8,1,44
Michigan,Cover A,downwind,1.5,1,44
Michigan,Cover A,downwind,2.3,1,45
Michigan,Cover A,downwind,3,1,42
Michigan,Cover A,downwind,3.8,1,43
Michigan,Cover A,downwind,4.6,1,47
Michigan,Cover A,downwind,5.3,1,48
Michigan,Cover A,downwind,6.1,1,45
Michigan,Cover A,downwind,6.9,1,45
Michigan,Cover A,downwind,7.6,1,47
Michigan,Cover A,downwind,8.4,1,48
Michigan,Cover A,downwind,9.1,1,48
Michigan,Cover A,downwind,9.9,1,45
Michigan,Cover A,downwind,10.7,1,46
Michigan,Cover A,downwind,11.4,1,47
Michigan,Cover A,downwind,12.2,1,47
Michigan,Cover A,downwind,13,1,44
Michigan,Cover A,downwind,13.7,1,47
Michigan,Cover A,downwind,14.5,1,48
Michigan,Cover A,downwind,15.2,1,48
Michigan,Cover B,downwind,0,1,60
Michigan,Cover B,downwind,0.8,1,57
Michigan,Cover B,downwind,1.5,1,58
Michigan,Cover B,downwind,2.3,1,56
Michigan,Cover B,downwind,3,1,60
Michigan,Cover B,downwind,3.8,1,60
Michigan,Cover B,downwind,4.6,1,55
Michigan,Cover B,downwind,5.3,1,57
Michigan,Cover B,downwind,6.1,1,59
Michigan,Cover B,downwind,6.9,1,63
Michigan,Cover B,downwind,7.6,1,59
Michigan,Cover B,downwind,8.4,1,59
Michigan,Cover B,downwind,9.1,1,60
Michigan,Cover B,downwind,9.9,1,58
Michigan,Cover B,downwind,10.7,1,59
Michigan,Cover B,downwind,11.4,1,52
Michigan,Cover B,downwind,12.2,1,60
Michigan,Cover B,downwind,13,1,55
Michigan,Cover B,downwind,13.7,1,58
Michigan,Cover B,downwind,14.5,1,58
Michigan,Cover B,downwind,15.2,1,62
Michigan,Cover C,downwind,0,1,40
Michigan,Cover C,downwind,0.8,1,40
Michigan,Cover C,downwind,1.5,1,45
Michigan,Cover C,downwind,2.3,1,46
Michigan,Cover C,downwind,3,1,42
Michigan,Cover C,downwind,3.8,1,50
Michigan,Cover C,downwind,4.6,1,50
Michigan,Cover C,downwind,5.3,1,48
Michigan,Cover C,downwind,6.1,1,48
Michigan,Cover C,downwind,6.9,1,50
Michigan,Cover C,downwind,7.6,1,52
Michigan,Cover C,downwind,8.4,1,50
Michigan,Cover C,downwind,9.1,1,50
Michigan,Cover C,downwind,9.9,1,45
Michigan,Cover C,downwind,10.7,1,46
Michigan,Cover C,downwind,11.4,1,46
Michigan,Cover C,downwind,12.2,1,46
Michigan,Cover C,downwind,13,1,46
Michigan,Cover C,downwind,13.7,1,48
Michigan,Cover C,downwind,14.5,1,46
Michigan,Cover C,downwind,15.2,1,48
Michigan,Uncover A,downwind,0,1,29
Michigan,Uncover A,downwind,0.8,1,32
Michigan,Uncover A,downwind,1.5,1,31
Michigan,Uncover A,downwind,2.3,1,32
Michigan,Uncover A,downwind,3,1,30
Michigan,Uncover A,downwind,3.8,1,31
Michigan,Uncover A,downwind,4.6,1,37
Michigan,Uncover A,downwind,5.3,1,35
Michigan,Uncover A,downwind,6.1,1,38
Michigan,Uncover A,downwind,6.9,1,40
Michigan,Uncover A,downwind,7.6,1,37
Michigan,Uncover A,downwind,8.4,1,37
Michigan,Uncover A,downwind,9.1,1,35
Michigan,Uncover A,downwind,9.9,1,40
Michigan,Uncover A,downwind,10.7,1,39
Michigan,Uncover A,downwind,11.4,1,37
Michigan,Uncover A,downwind,12.2,1,38
Michigan,Uncover A,downwind,13,1,38
Michigan,Uncover A,downwind,13.7,1,39
Michigan,Uncover A,downwind,14.5,1,39
Michigan,Uncover A,downwind,15.2,1,38
Michigan,Uncover B,downwind,0,1,57
Michigan,Uncover B,downwind,0.8,1,59
Michigan,Uncover B,downwind,1.5,1,52
Michigan,Uncover B,downwind,2.3,1,54
Michigan,Uncover B,downwind,3,1,54
Michigan,Uncover B,downwind,3.8,1,50
Michigan,Uncover B,downwind,4.6,1,54
Michigan,Uncover B,downwind,5.3,1,59
Michigan,Uncover B,downwind,6.1,1,57
Michigan,Uncover B,downwind,6.9,1,55
Michigan,Uncover B,downwind,7.6,1,56
Michigan,Uncover B,downwind,8.4,1,60
Michigan,Uncover B,downwind,9.1,1,59
Michigan,Uncover B,downwind,9.9,1,48
Michigan,Uncover B,downwind,10.7,1,54
Michigan,Uncover B,downwind,11.4,1,54
Michigan,Uncover B,downwind,12.2,1,60
Michigan,Uncover B,downwind,13,1,59
Michigan,Uncover B,downwind,13.7,1,62
Michigan,Uncover B,downwind,14.5,1,59
Michigan,Uncover B,downwind,15.2,1,58
Michigan,Uncover C,downwind,0,1,42
Michigan,Uncover C,downwind,0.8,1,50
Michigan,Uncover C,downwind,1.5,1,46
Michigan,Uncover C,downwind,2.3,1,40
Michigan,Uncover C,downwind,3,1,50
Michigan,Uncover C,downwind,3.8,1,48
Michigan,Uncover C,downwind,4.6,1,50
Michigan,Uncover C,downwind,5.3,1,50
Michigan,Uncover C,downwind,6.1,1,45
Michigan,Uncover C,downwind,6.9,1,50
Michigan,Uncover C,downwind,7.6,1,
Michigan,Uncover C,downwind,8.4,1,
Michigan,Uncover C,downwind,9.1,1,
Michigan,Uncover C,downwind,9.9,1,
Michigan,Uncover C,downwind,10.7,1,
Michigan,Uncover C,downwind,11.4,1,
Michigan,Uncover C,downwind,12.2,1,
Michigan,Uncover C,downwind,13,1,
Michigan,Uncover C,downwind,13.7,1,
Michigan,Uncover C,downwind,14.5,1,
Michigan,Uncover C,downwind,15.2,1,
Michigan,Transect A,downwind,0,1,23
Michigan,Transect A,downwind,0,2,25
Michigan,Transect A,downwind,0,3,23
Michigan,Transect A,downwind,0,4,25
Michigan,Transect A,downwind,0,5,22
Michigan,Transect A,downwind,0,6,
Michigan,Transect A,downwind,0,7,
Michigan,Transect A,downwind,0,8,
Michigan,Transect A,downwind,0,9,
Michigan,Transect A,downwind,0,10,
Michigan,Transect A,downwind,0.8,1,30
Michigan,Transect A,downwind,0.8,2,30
Michigan,Transect A,downwind,0.8,3,30
Michigan,Transect A,downwind,0.8,4,30
Michigan,Transect A,downwind,0.8,5,30
Michigan,Transect A,downwind,0.8,6,
Michigan,Transect A,downwind,0.8,7,
Michigan,Transect A,downwind,0.8,8,
Michigan,Transect A,downwind,0.8,9,
Michigan,Transect A,downwind,0.8,10,
Michigan,Transect A,downwind,1.5,1,28
Michigan,Transect A,downwind,1.5,2,30
Michigan,Transect A,downwind,1.5,3,31
Michigan,Transect A,downwind,1.5,4,26
Michigan,Transect A,downwind,1.5,5,28
Michigan,Transect A,downwind,1.5,6,
Michigan,Transect A,downwind,1.5,7,
Michigan,Transect A,downwind,1.5,8,
Michigan,Transect A,downwind,1.5,9,
Michigan,Transect A,downwind,1.5,10,
Michigan,Transect A,downwind,2.3,1,31
Michigan,Transect A,downwind,2.3,2,31
Michigan,Transect A,downwind,2.3,3,32
Michigan,Transect A,downwind,2.3,4,30
Michigan,Transect A,downwind,2.3,5,27
Michigan,Transect A,downwind,2.3,6,
Michigan,Transect A,downwind,2.3,7,
Michigan,Transect A,downwind,2.3,8,
Michigan,Transect A,downwind,2.3,9,
Michigan,Transect A,downwind,2.3,10,
Michigan,Transect A,downwind,3,1,35
Michigan,Transect A,downwind,3,2,35
Michigan,Transect A,downwind,3,3,34
Michigan,Transect A,downwind,3,4,32
Michigan,Transect A,downwind,3,5,32
Michigan,Transect A,downwind,3,6,
Michigan,Transect A,downwind,3,7,
Michigan,Transect A,downwind,3,8,
Michigan,Transect A,downwind,3,9,
Michigan,Transect A,downwind,3,10,
Michigan,Transect A,downwind,4,1,33
Michigan,Transect A,downwind,4,2,35
Michigan,Transect A,downwind,4,3,38
Michigan,Transect A,downwind,4,4,30
Michigan,Transect A,downwind,4,5,28
Michigan,Transect A,downwind,4,6,24
Michigan,Transect A,downwind,4,7,32
Michigan,Transect A,downwind,4,8,31
Michigan,Transect A,downwind,4,9,30
Michigan,Transect A,downwind,4,10,35
Michigan,Transect A,downwind,7.9,1,42
Michigan,Transect A,downwind,7.9,2,42
Michigan,Transect A,downwind,7.9,3,43
Michigan,Transect A,downwind,7.9,4,43
Michigan,Transect A,downwind,7.9,5,36
Michigan,Transect A,downwind,7.9,6,36
Michigan,Transect A,downwind,7.9,7,43
Michigan,Transect A,downwind,7.9,8,41
Michigan,Transect A,downwind,7.9,9,42
Michigan,Transect A,downwind,7.9,10,40
Michigan,Transect A,downwind,15.8,1,48
Michigan,Transect A,downwind,15.8,2,47
Michigan,Transect A,downwind,15.8,3,43
Michigan,Transect A,downwind,15.8,4,50
Michigan,Transect A,downwind,15.8,5,51
Michigan,Transect A,downwind,15.8,6,50
Michigan,Transect A,downwind,15.8,7,50
Michigan,Transect A,downwind,15.8,8,47
Michigan,Transect A,downwind,15.8,9,47
Michigan,Transect A,downwind,15.8,10,47
Michigan,Transect A,downwind,30.5,1,51
Michigan,Transect A,downwind,30.5,2,51
Michigan,Transect A,downwind,30.5,3,50
Michigan,Transect A,downwind,30.5,4,50
Michigan,Transect A,downwind,30.5,5,50
Michigan,Transect A,downwind,30.5,6,52
Michigan,Transect A,downwind,30.5,7,51
Michigan,Transect A,downwind,30.5,8,51
Michigan,Transect A,downwind,30.5,9,50
Michigan,Transect A,downwind,30.5,10,50
Michigan,Transect A,downwind,44.8,1,52
Michigan,Transect A,downwind,44.8,2,52
Michigan,Transect A,downwind,44.8,3,54
Michigan,Transect A,downwind,44.8,4,53
Michigan,Transect A,downwind,44.8,5,60
Michigan,Transect A,downwind,44.8,6,58
Michigan,Transect A,downwind,44.8,7,57
Michigan,Transect A,downwind,44.8,8,58
Michigan,Transect A,downwind,44.8,9,57
Michigan,Transect A,downwind,44.8,10,54
Michigan,Transect A,downwind,59.7,1,56
Michigan,Transect A,downwind,59.7,2,55
Michigan,Transect A,downwind,59.7,3,55
Michigan,Transect A,downwind,59.7,4,59
Michigan,Transect A,downwind,59.7,5,58
Michigan,Transect A,downwind,59.7,6,60
Michigan,Transect A,downwind,59.7,7,57
Michigan,Transect A,downwind,59.7,8,58
Michigan,Transect A,downwind,59.7,9,57
Michigan,Transect A,downwind,59.7,10,57
Michigan,Transect A,downwind,75,1,53
Michigan,Transect A,downwind,75,2,53
Michigan,Transect A,downwind,75,3,54
Michigan,Transect A,downwind,75,4,54
Michigan,Transect A,downwind,75,5,53
Michigan,Transect A,downwind,75,6,56
Michigan,Transect A,downwind,75,7,52
Michigan,Transect A,downwind,75,8,52
Michigan,Transect A,downwind,75,9,53
Michigan,Transect A,downwind,75,10,53
Michigan,Transect A,downwind,89.9,1,53
Michigan,Transect A,downwind,89.9,2,54
Michigan,Transect A,downwind,89.9,3,54
Michigan,Transect A,downwind,89.9,4,52
Michigan,Transect A,downwind,89.9,5,53
Michigan,Transect A,downwind,89.9,6,56
Michigan,Transect A,downwind,89.9,7,56
Michigan,Transect A,downwind,89.9,8,55
Michigan,Transect A,downwind,89.9,9,52
Michigan,Transect A,downwind,89.9,10,54
Michigan,Transect A,downwind,104.9,1,52
Michigan,Transect A,downwind,104.9,2,54
Michigan,Transect A,downwind,104.9,3,56
Michigan,Transect A,downwind,104.9,4,55
Michigan,Transect A,downwind,104.9,5,55
Michigan,Transect A,downwind,104.9,6,56
Michigan,Transect A,downwind,104.9,7,58
Michigan,Transect A,downwind,104.9,8,56
Michigan,Transect A,downwind,104.9,9,55
Michigan,Transect A,downwind,104.9,10,56
Michigan,Transect A,downwind,119.8,1,47
Michigan,Transect A,downwind,119.8,2,46
Michigan,Transect A,downwind,119.8,3,44
Michigan,Transect A,downwind,119.8,4,48
Michigan,Transect A,downwind,119.8,5,49
Michigan,Transect A,downwind,119.8,6,46
Michigan,Transect A,downwind,119.8,7,42
Michigan,Transect A,downwind,119.8,8,44
Michigan,Transect A,downwind,119.8,9,43
Michigan,Transect A,downwind,119.8,10,47
Michigan,Transect B,downwind,0,1,43
Michigan,Transect B,downwind,0,2,40
Michigan,Transect B,downwind,0,3,44
