Location,Area,Cover,ft,Distance,DAT,Injury
North,A,Yes,5,1.52,14,10
North,A,Yes,10,3.05,14,5
North,A,Yes,15,4.57,14,5
North,A,Yes,20,6.1,14,3
North,A,Yes,25,7.62,14,3
North,A,Yes,30,9.14,14,3
North,A,Yes,35,10.67,14,0
North,A,Yes,40,12.19,14,0
North,A,Yes,45,13.72,14,0
Middle,A,Yes,5,1.52,14,10
Middle,A,Yes,10,3.05,14,5
Middle,A,Yes,15,4.57,14,3
Middle,A,Yes,20,6.1,14,3
Middle,A,Yes,25,7.62,14,0
Middle,A,Yes,30,9.14,14,0
Middle,A,Yes,35,10.67,14,0
Middle,A,Yes,40,12.19,14,0
Middle,A,Yes,45,13.72,14,0
South,A,Yes,5,1.52,14,5
South,A,Yes,10,3.05,14,5
South,A,Yes,15,4.57,14,3
South,A,Yes,20,6.1,14,0
South,A,Yes,25,7.62,14,0
South,A,Yes,30,9.14,14,0
South,A,Yes,35,10.67,14,0
South,A,Yes,40,12.19,14,0
South,A,Yes,45,13.72,14,0
North,A,No,5,1.52,14,90
North,A,No,10,3.05,14,30
North,A,No,15,4.57,14,15
North,A,No,20,6.1,14,15
North,A,No,25,7.62,14,10
North,A,No,30,9.14,14,10
North,A,No,35,10.67,14,10
North,A,No,40,12.19,14,5
North,A,No,45,13.72,14,5
Middle,A,No,5,1.52,14,95
Middle,A,No,10,3.05,14,35
Middle,A,No,15,4.57,14,25
Middle,A,No,20,6.1,14,10
Middle,A,No,25,7.62,14,10
Middle,A,No,30,9.14,14,10
Middle,A,No,35,10.67,14,5
Middle,A,No,40,12.19,14,5
Middle,A,No,45,13.72,14,5
South,A,No,5,1.52,14,90
South,A,No,10,3.05,14,25
South,A,No,15,4.57,14,25
South,A,No,20,6.1,14,10
South,A,No,25,7.62,14,10
South,A,No,30,9.14,14,5
South,A,No,35,10.67,14,5
South,A,No,40,12.19,14,5
South,A,No,45,13.72,14,0
North,B,Transect,13,3.96,14,25
North,B,Transect,26,7.92,14,10
North,B,Transect,53,16.15,14,5
North,B,Transect,100,30.48,14,3
North,B,Transect,148,45.11,14,0
North,B,Transect,197,60.05,14,0
North,B,Transect,246,74.98,14,0
North,B,Transect,297,90.53,14,0
Middle,B,Transect,13,3.96,14,30
Middle,B,Transect,26,7.92,14,10
Middle,B,Transect,53,16.15,14,5
Middle,B,Transect,100,30.48,14,3
Middle,B,Transect,148,45.11,14,0
Middle,B,Transect,197,60.05,14,0
Middle,B,Transect,246,74.98,14,0
Middle,B,Transect,297,90.53,14,0
South,B,Transect,13,3.96,14,20
South,B,Transect,26,7.92,14,10
South,B,Transect,53,16.15,14,5
South,B,Transect,100,30.48,14,0
South,B,Transect,148,45.11,14,0
South,B,Transect,197,60.05,14,0
South,B,Transect,246,74.98,14,0
South,B,Transect,297,90.53,14,0
North,A,Yes,5,1.52,21,10
North,A,Yes,10,3.05,21,5
North,A,Yes,15,4.57,21,5
North,A,Yes,20,6.1,21,3
North,A,Yes,25,7.62,21,3
North,A,Yes,30,9.14,21,3
North,A,Yes,35,10.67,21,0
North,A,Yes,40,12.19,21,0
North,A,Yes,45,13.72,21,0
Middle,A,Yes,5,1.52,21,10
Middle,A,Yes,10,3.05,21,5
Middle,A,Yes,15,4.57,21,3
Middle,A,Yes,20,6.1,21,3
Middle,A,Yes,25,7.62,21,0
Middle,A,Yes,30,9.14,21,0
Middle,A,Yes,35,10.67,21,0
Middle,A,Yes,40,12.19,21,0
Middle,A,Yes,45,13.72,21,0
South,A,Yes,5,1.52,21,3
South,A,Yes,10,3.05,21,0
South,A,Yes,15,4.57,21,0
South,A,Yes,20,6.1,21,0
South,A,Yes,25,7.62,21,0
South,A,Yes,30,9.14,21,0
South,A,Yes,35,10.67,21,0
South,A,Yes,40,12.19,21,0
South,A,Yes,45,13.72,21,0
North,A,No,5,1.52,21,90
North,A,No,10,3.05,21,30
North,A,No,15,4.57,21,25
North,A,No,20,6.1,21,15
North,A,No,25,7.62,21,15
North,A,No,30,9.14,21,10
North,A,No,35,10.67,21,10
North,A,No,40,12.19,21,5
North,A,No,45,13.72,21,5
Middle,A,No,5,1.52,21,90
Middle,A,No,10,3.05,21,30
Middle,A,No,15,4.57,21,25
Middle,A,No,20,6.1,21,15
Middle,A,No,25,7.62,21,15
Middle,A,No,30,9.14,21,10
Middle,A,No,35,10.67,21,10
Middle,A,No,40,12.19,21,5
Middle,A,No,45,13.72,21,5
South,A,No,5,1.52,21,85
South,A,No,10,3.05,21,25
South,A,No,15,4.57,21,20
South,A,No,20,6.1,21,10
South,A,No,25,7.62,21,5
South,A,No,30,9.14,21,5
South,A,No,35,10.67,21,5
South,A,No,40,12.19,21,5
South,A,No,45,13.72,21,0
North,B,Transect,13,3.96,21,25
North,B,Transect,26,7.92,21,15
North,B,Transect,53,16.15,21,5
North,B,Transect,100,30.48,21,3
North,B,Transect,148,45.11,21,3
North,B,Transect,197,60.05,21,0
North,B,Transect,246,74.98,21,0
North,B,Transect,297,90.53,21,0
Middle,B,Transect,13,3.96,21,30
Middle,B,Transect,26,7.92,21,1
Middle,B,Transect,53,16.15,21,5
Middle,B,Transect,100,30.48,21,5
Middle,B,Transect,148,45.11,21,3
Middle,B,Transect,197,60.05,21,0
Middle,B,Transect,246,74.98,21,0
Middle,B,Transect,297,90.53,21,0
South,B,Transect,13,3.96,21,15
South,B,Transect,26,7.92,21,5
South,B,Transect,53,16.15,21,5
South,B,Transect,100,30.48,21,3
South,B,Transect,148,45.11,21,0
South,B,Transect,197,60.05,21,0
South,B,Transect,246,74.98,21,0
South,B,Transect,297,90.53,21,0
