Cover,Distance,p,pmin,pmax
Covered,0.5,3.347236433511543,-0.2408343314563841,6.935307198479471
Covered,0.6299605249474366,3.347192350299927,-0.23995009576219406,6.934334796362048
Covered,0.7937005259840998,3.3470639583573263,-0.2375999193381091,6.931727836052762
Covered,1,3.3466900548710954,-0.23141537003956802,6.924795479781759
Covered,1.2599210498948732,3.34560148419004,-0.21535614905971512,6.9065591174397944
Covered,1.5874010519681996,3.3424349001461557,-0.1744660376946463,6.859335837986958
Covered,2.0000000000000004,3.333245840331516,-0.07371890061275677,6.7402105812757895
Covered,2.519842099789747,3.3067670195357293,0.15887863929911283,6.454655399772346
Covered,3.1748021039363987,3.2319866217922653,0.6154654341465764,5.848507809437955
Covered,4.000000000000001,3.032259320150463,1.0824416287398717,4.982077011561054
Covered,5.039684199579492,2.5697272667086914,0.4397395407847795,4.699714992632604
Covered,6.349604207872798,1.7792373889798727,-0.38465507589814174,3.9431298538578874
Covered,8.000000000000002,0.938428401374364,-0.7012050949422557,2.5780618976909837
Covered,10.079368399158986,0.39489196224482864,-0.9693780044376294,1.7591619289272866
Covered,12.699208415745598,0.1469640219973511,-0.7145147628826989,1.0084428068774012
Covered,15.999999999999998,0.05195526282546456,-0.3859987277202558,0.48990925337118485
Non-covered,0.5,37.6249227313308,24.96875788275222,50.281087579909375
Non-covered,0.6299605249474366,37.474319816642236,25.171790358707476,49.776849274576996
Non-covered,0.7937005259840998,37.22809396525063,25.457690796668388,48.99849713383287
Non-covered,1,36.82825408767961,25.84244000799946,47.814068167359764
Non-covered,1.2599210498948732,36.1860667030879,26.322005595825296,46.05012781035051
Non-covered,1.5874010519681996,35.17264374561514,26.837478328042465,43.507809163187815
Non-covered,2.0000000000000004,33.616988867026485,27.21158881983195,40.02238891422102
Non-covered,2.519842099789747,31.32749739266251,27.055024712696664,35.59997007262836
Non-covered,3.1748021039363987,28.15867747044913,25.655086908475834,30.66226803242243
Non-covered,4.000000000000001,24.126248389742486,22.200788690996784,26.051708088488187
Non-covered,5.039684199579492,19.509762149073207,17.564320785024613,21.455203513121802
Non-covered,6.349604207872798,14.823081732961077,13.186374292161206,16.45978917376095
Non-covered,8.000000000000002,10.611152904630744,9.302173475332893,11.920132333928596
Non-covered,10.079368399158986,7.220863660511176,5.875538793361305,8.566188527661048
Non-covered,12.699208415745598,4.725901622476098,3.288847903505065,6.16295534144713
Non-covered,15.999999999999998,3.0083539122911893,1.6427181945352514,4.373989630047127
