Location,year,Date and time,spd,dir,windrad
Nebraska,2018,7/10/18 8:46,3.483781056,151.6122,2.128527124
Nebraska,2018,7/10/18 9:00,3.65461824,155.1762,2.178793208
Nebraska,2018,7/10/18 9:15,3.773074965,151.9596,2.134073888
Nebraska,2018,7/10/18 9:30,4.058764715,160.461,2.25293104
Nebraska,2018,7/10/18 9:45,3.760340267,168.1632,2.360058916
Nebraska,2018,7/10/18 10:00,3.624103019,162.0378,2.273718596
Nebraska,2018,7/10/18 10:15,3.799505472,163.0746,2.288685716
Nebraska,2018,7/10/18 10:30,2.376102549,171.9648,2.408161447
Nebraska,2018,7/10/18 10:45,4.090241045,186.9138,2.622252608
Nebraska,2018,7/10/18 11:00,4.407166848,169.6716,2.382877294
Nebraska,2018,7/10/18 11:15,5.428826069,171.3456,2.409408559
Nebraska,2018,7/10/18 11:30,4.271169877,172.9242,2.427201833
Nebraska,2018,7/10/18 11:45,4.345896128,186.4458,2.616762307
Nebraska,2018,7/10/18 12:00,5.585727168,178.6392,2.510579682
Nebraska,2018,7/10/18 12:15,6.254418987,174.1176,2.451446934
Nebraska,2018,7/10/18 12:30,6.815226283,168.759,2.376840607
Nebraska,2018,7/10/18 12:45,6.912298325,166.806,2.348632197
Nebraska,2018,7/10/18 13:00,7.131190976,151.911,2.143707445
Nebraska,2018,7/10/18 13:15,7.851782699,166.6224,2.349180332
Nebraska,2018,7/10/18 13:30,7.950056128,161.9892,2.285503487
Nebraska,2018,7/10/18 13:45,7.007448149,176.3892,2.483839642
Nebraska,2018,7/10/18 14:00,6.725602837,174.0708,2.450772515
Nebraska,2018,7/10/18 14:15,7.635052544,161.4474,2.276772699
Nebraska,2018,7/10/18 14:30,7.582912363,156.6864,2.209667525
Nebraska,2018,7/10/18 14:45,8.545943915,174.8142,2.467702795
Nebraska,2018,7/10/18 15:00,6.186901056,178.9092,2.516186406
Nebraska,2018,7/10/18 15:15,6.618198869,153.3348,2.160064801
Nebraska,2018,7/10/18 15:30,6.004770837,154.1052,2.169374816
Nebraska,2018,7/10/18 15:45,6.933442731,162.7236,2.291270464
Nebraska,2018,7/10/18 16:00,5.963443136,154.431,2.173219314
Nebraska,2018,7/10/18 16:15,6.400747883,147.15,2.071821531
Nebraska,2018,7/10/18 16:30,7.281124032,145.6236,2.055826483
Nebraska,2018,7/10/18 16:45,7.814299435,148.1328,2.091956077
Nebraska,2018,7/10/18 17:00,6.557168427,142.7292,2.011907141
Nebraska,2018,7/10/18 17:15,6.911337216,149.3622,2.106941058
Nebraska,2018,7/10/18 17:30,6.396663168,157.6656,2.220207099
Nebraska,2018,7/10/18 17:45,5.852435008,142.0038,2.000063446
Nebraska,2018,7/10/18 18:00,5.920673771,161.6976,2.274659265
Nebraska,2018,7/10/18 18:15,6.318332757,141.5952,1.995339621
Nebraska,2018,7/10/18 18:30,6.085504021,149.8158,2.11036413
Nebraska,2018,7/10/18 18:45,5.091476693,151.3998,2.12871507
Nebraska,2018,7/10/18 19:00,4.359111381,148.5594,2.086635862
Nebraska,2018,7/10/18 19:15,4.774310613,139.9464,1.967612765
Nebraska,2018,7/10/18 19:30,6.809219349,142.7994,2.014401219
Nebraska,2018,7/10/18 19:45,6.525211541,141.0192,1.988995562
Nebraska,2018,7/10/18 20:00,4.536916608,146.3814,2.056678144
Nebraska,2018,7/10/18 20:15,4.933614485,143.316,2.015344839
Nebraska,2018,7/10/18 20:45,4.189475584,134.9262,1.896498467
Nebraska,2018,7/10/18 21:00,3.504204629,143.7696,2.018579198
Nebraska,2018,7/10/18 21:15,4.576081813,148.1058,2.082571163
Nebraska,2018,7/10/18 21:30,2.792503168,144.603,2.027439478
Nebraska,2018,7/10/18 21:45,3.235574571,142.3476,1.99646815
Nebraska,2018,7/10/18 22:00,3.802148523,147.8934,2.077001253
Nebraska,2018,7/10/18 22:15,3.270655061,149.0922,2.091156388
Nebraska,2018,7/10/18 22:30,4.339168363,147.96,2.079193448
Nebraska,2018,7/10/18 22:45,5.299076309,151.6392,2.134267771
Nebraska,2018,7/10/18 23:00,5.665258965,158.166,2.226959161
Nebraska,2018,7/10/18 23:15,5.739504661,156.0636,2.196044075
Nebraska,2018,7/10/18 23:30,4.600590101,164.7504,2.314420162
Nebraska,2018,7/10/18 23:45,5.355060928,156.3642,2.200467701
Nebraska,2018,7/11/18 0:00,6.176328853,156.1176,2.198383251
Nebraska,2018,7/11/18 0:15,5.081385045,151.9416,2.136745522
Nebraska,2018,7/11/18 0:30,5.704424171,155.7702,2.192593256
Nebraska,2018,7/11/18 0:45,5.172930709,155.8836,2.19189109
Nebraska,2018,7/11/18 1:00,5.059279531,157.5414,2.215352877
Nebraska,2018,7/11/18 1:15,5.075137835,157.2246,2.210363372
Nebraska,2018,7/11/18 1:30,4.258915733,156.3552,2.195599039
Nebraska,2018,7/11/18 1:45,3.979232917,160.7454,2.257552028
Nebraska,2018,7/11/18 2:00,4.188514475,167.148,2.345288548
Nebraska,2018,7/11/18 2:15,3.515978219,160.6824,2.254642663
Nebraska,2018,7/11/18 2:30,4.109222955,154.0386,2.162687047
Nebraska,2018,7/11/18 2:45,3.008512491,157.0878,2.202351548
Nebraska,2018,7/11/18 3:00,3.439329749,167.8914,2.354284476
Nebraska,2018,7/11/18 3:15,3.076030421,159.6996,2.239200791
Nebraska,2018,7/11/18 3:30,3.893694187,150.5088,2.113871407
Nebraska,2018,7/11/18 3:45,3.379740971,156.7116,2.197866237
Nebraska,2018,7/11/18 4:00,3.403288149,164.5974,2.30848864
Nebraska,2018,7/11/18 4:15,2.446023253,162.297,2.272728911
Nebraska,2018,7/11/18 4:30,1.764116181,168.3648,2.355790739
Nebraska,2018,7/11/18 4:45,2.020732373,165.3732,2.31511045
Nebraska,2018,7/11/18 5:00,1.582466517,154.8054,2.166293779
Nebraska,2018,7/11/18 5:15,2.577935509,163.6686,2.292647502
Nebraska,2018,7/11/18 5:30,2.199258432,163.8306,2.293529745
Nebraska,2018,7/11/18 5:45,2.000549077,174.6576,2.44445163
Nebraska,2018,7/11/18 6:00,2.053410091,166.5774,2.332272332
Nebraska,2018,7/11/18 6:15,1.935193643,148.1724,2.07477832
Nebraska,2018,7/11/18 6:30,1.774928661,144.009,2.015929153
Nebraska,2018,7/11/18 6:45,2.636563179,136.737,1.917022243
Nebraska,2018,7/11/18 7:00,3.276661995,143.1342,2.008289889
Nebraska,2018,7/11/18 7:15,4.24570048,162.0594,2.276033133
Nebraska,2018,7/11/18 7:30,3.551298987,166.185,2.331611876
Nebraska,2018,7/11/18 7:45,4.473002837,167.1858,2.347770569
Nebraska,2018,7/11/18 8:00,5.242130581,167.0094,2.348570205
Nebraska,2018,7/11/18 8:15,6.169601088,166.8798,2.347901315
Nebraska,2018,7/11/18 8:30,5.955513984,182.6532,2.567686708
Nebraska,2018,7/11/18 8:45,5.46390656,179.6454,2.524134042
Nebraska,2018,7/11/18 9:00,5.364672021,180.7254,2.539612088
Nebraska,2018,7/11/18 9:15,7.378436352,181.7046,2.558467635
Nebraska,2018,7/11/18 9:30,5.28730272,176.589,2.481949284
Nebraska,2018,7/11/18 9:45,5.214258411,181.4364,2.549245971
Nebraska,2018,7/11/18 10:00,5.2080112,175.2516,2.463359522
Nebraska,2018,7/11/18 10:15,6.4334256,173.4606,2.442768329
Nebraska,2018,7/11/18 10:30,5.954793152,176.9832,2.48857725
Nebraska,2018,7/11/18 10:45,5.591493824,181.665,2.553293331
Nebraska,2018,7/11/18 11:00,7.263583787,180.0414,2.534750123
Nebraska,2018,7/11/18 11:15,7.331101717,180.0954,2.536317671
Nebraska,2018,7/11/18 11:30,6.959873237,176.508,2.484353542
