Cover,Distance,p,pmin,pmax
Yes,0.5,40.39375867243585,38.57684281893096,42.21067452594074
Yes,0.6299605249474366,39.989700931509574,38.30454315516911,41.67485870785004
Yes,0.7937005259840998,39.312442272397504,37.78783726470009,40.83704728009492
Yes,1,38.198287113769496,36.81983081419497,39.57674341334402
Yes,1.2599210498948732,36.42058907702184,35.08257326332913,37.758604890714544
Yes,1.5874010519681996,33.71805029617133,32.26802550104241,35.168075091300246
Yes,2.0000000000000004,29.897271455912435,28.3164986065331,31.47804430529177
Yes,2.519842099789747,25.01534418653311,23.486806025002487,26.543882348063732
Yes,3.1748021039363987,19.524540184006376,18.25862223986101,20.790458128151744
Yes,4.000000000000001,14.168456297344221,13.152864747827362,15.18404784686108
Yes,5.039684199579492,9.622325149729754,8.680278513666707,10.564371785792801
Yes,6.349604207872798,6.197535893411774,5.292092943947051,7.102978842876497
Yes,8.000000000000002,3.8422796240862658,3.0447750266631384,4.639784221509393
Yes,10.079368399158986,2.3223104701933415,1.68285329887696,2.9617676415097227
Yes,12.699208415745598,1.381255228238373,0.9036837490083087,1.8588267074684373
Yes,15.999999999999998,0.8135102944703595,0.47427647685161195,1.152744112089107
No,0.5,43.956533791529765,42.22047605330114,45.69259152975839
No,0.6299605249474366,43.911904761686074,42.198897960445116,45.62491156292703
No,0.7937005259840998,43.82441647165239,42.151740174430856,45.49709276887393
No,1,43.65340487784567,42.04914107439168,45.257668681299656
No,1.2599210498948732,43.32101498121457,41.8266177493176,44.815412213111536
No,1.5874010519681996,42.681995373824705,41.34567654191802,44.01831420573139
No,2.0000000000000004,41.47894707605982,40.31622682640459,42.64166732571505
No,2.519842099789747,39.30083651108633,38.20367447461992,40.39799854755274
No,3.1748021039363987,35.622769345698956,34.39962588109361,36.8459128103043
No,4.000000000000001,30.086369747447122,28.77886717458419,31.393872320310056
No,5.039684199579492,23.04426613778026,21.914030552707832,24.174501722852686
No,6.349604207872798,15.781286747566877,14.837073350154387,16.725500144979367
No,8.000000000000002,9.74325169462779,8.792448965713833,10.694054423541749
No,10.079368399158986,5.5602539807322335,4.675258758567866,6.445249202896601
No,12.699208415745598,3.0150645894991395,2.3163448948582466,3.7137842841400324
No,15.999999999999998,1.5868367344649663,1.0980061426621506,2.075667326267782
