Row,Distance,Location,Cover,Rep,Injury,Height,DAT
1,0,N-1,Yes,1,25,59,14
1,0,N-1,Yes,2,30,48,14
1,0,N-1,Yes,3,35,49,14
2,0.5,N-1,Yes,1,30,52,14
2,0.5,N-1,Yes,2,30,54,14
2,0.5,N-1,Yes,3,30,53,14
3,1,N-1,Yes,1,30,53,14
3,1,N-1,Yes,2,25,52,14
3,1,N-1,Yes,3,25,55,14
4,1.5,N-1,Yes,1,25,52,14
4,1.5,N-1,Yes,2,25,55,14
4,1.5,N-1,Yes,3,25,56,14
5,2,N-1,Yes,1,20,52,14
5,2,N-1,Yes,2,20,53,14
5,2,N-1,Yes,3,25,55,14
6,2.5,N-1,Yes,1,20,51,14
6,2.5,N-1,Yes,2,20,48,14
6,2.5,N-1,Yes,3,20,55,14
7,3,N-1,Yes,1,20,51,14
7,3,N-1,Yes,2,15,48,14
7,3,N-1,Yes,3,15,55,14
8,3.5,N-1,Yes,1,15,56,14
8,3.5,N-1,Yes,2,10,52,14
8,3.5,N-1,Yes,3,10,51,14
9,4,N-1,Yes,1,10,51,14
9,4,N-1,Yes,2,10,53,14
9,4,N-1,Yes,3,15,52,14
10,4.5,N-1,Yes,1,10,53,14
10,4.5,N-1,Yes,2,10,54,14
10,4.5,N-1,Yes,3,8,53,14
11,5,N-1,Yes,1,10,59,14
11,5,N-1,Yes,2,8,55,14
11,5,N-1,Yes,3,8,53,14
12,5.5,N-1,Yes,1,8,54,14
12,5.5,N-1,Yes,2,5,55,14
12,5.5,N-1,Yes,3,8,52,14
13,6,N-1,Yes,1,10,47,14
13,6,N-1,Yes,2,5,46,14
13,6,N-1,Yes,3,5,52,14
14,6.5,N-1,Yes,1,5,51,14
14,6.5,N-1,Yes,2,2,54,14
14,6.5,N-1,Yes,3,5,51,14
15,7,N-1,Yes,1,5,58,14
15,7,N-1,Yes,2,5,59,14
15,7,N-1,Yes,3,5,57,14
16,7.5,N-1,Yes,1,5,54,14
16,7.5,N-1,Yes,2,2,59,14
16,7.5,N-1,Yes,3,2,58,14
17,8,N-1,Yes,1,2,55,14
17,8,N-1,Yes,2,3,58,14
17,8,N-1,Yes,3,2,55,14
18,8.5,N-1,Yes,1,5,55,14
18,8.5,N-1,Yes,2,2,54,14
18,8.5,N-1,Yes,3,2,56,14
19,9,N-1,Yes,1,2,53,14
19,9,N-1,Yes,2,2,54,14
19,9,N-1,Yes,3,5,53,14
20,9.5,N-1,Yes,1,5,51,14
20,9.5,N-1,Yes,2,5,53,14
20,9.5,N-1,Yes,3,2,56,14
21,10,N-1,Yes,1,5,57,14
21,10,N-1,Yes,2,2,54,14
21,10,N-1,Yes,3,2,58,14
1,0,N-1,No,1,,,14
1,0,N-1,No,2,,,14
1,0,N-1,No,3,,,14
2,0.5,N-1,No,1,35,51,14
2,0.5,N-1,No,2,35,54,14
2,0.5,N-1,No,3,35,51,14
3,1,N-1,No,1,35,56,14
3,1,N-1,No,2,30,57,14
3,1,N-1,No,3,30,54,14
4,1.5,N-1,No,1,40,55,14
4,1.5,N-1,No,2,35,53,14
4,1.5,N-1,No,3,30,55,14
5,2,N-1,No,1,25,55,14
5,2,N-1,No,2,35,54,14
5,2,N-1,No,3,30,51,14
6,2.5,N-1,No,1,35,53,14
6,2.5,N-1,No,2,35,56,14
6,2.5,N-1,No,3,30,52,14
7,3,N-1,No,1,20,54,14
7,3,N-1,No,2,25,51,14
7,3,N-1,No,3,25,55,14
8,3.5,N-1,No,1,20,55,14
8,3.5,N-1,No,2,20,56,14
8,3.5,N-1,No,3,50,54,14
9,4,N-1,No,1,20,56,14
9,4,N-1,No,2,20,55,14
9,4,N-1,No,3,15,55,14
10,4.5,N-1,No,1,15,52,14
10,4.5,N-1,No,2,15,50,14
10,4.5,N-1,No,3,15,53,14
11,5,N-1,No,1,15,53,14
11,5,N-1,No,2,15,54,14
11,5,N-1,No,3,10,55,14
12,5.5,N-1,No,1,15,55,14
12,5.5,N-1,No,2,15,51,14
12,5.5,N-1,No,3,15,51,14
13,6,N-1,No,1,12,57,14
13,6,N-1,No,2,10,50,14
13,6,N-1,No,3,10,49,14
14,6.5,N-1,No,1,10,52,14
14,6.5,N-1,No,2,10,53,14
14,6.5,N-1,No,3,8,51,14
15,7,N-1,No,1,8,52,14
15,7,N-1,No,2,5,53,14
15,7,N-1,No,3,5,51,14
16,7.5,N-1,No,1,5,56,14
16,7.5,N-1,No,2,8,57,14
16,7.5,N-1,No,3,8,58,14
17,8,N-1,No,1,5,54,14
17,8,N-1,No,2,5,57,14
17,8,N-1,No,3,5,50,14
18,8.5,N-1,No,1,2,58,14
18,8.5,N-1,No,2,3,54,14
18,8.5,N-1,No,3,2,50,14
19,9,N-1,No,1,5,53,14
19,9,N-1,No,2,5,57,14
19,9,N-1,No,3,5,55,14
20,9.5,N-1,No,1,3,53,14
20,9.5,N-1,No,2,3,54,14
20,9.5,N-1,No,3,3,51,14
21,10,N-1,No,1,3,57,14
21,10,N-1,No,2,5,55,14
21,10,N-1,No,3,5,52,14
1,0,N-1,No,1,,,28
1,0,N-1,No,2,,,28
1,0,N-1,No,3,,,28
2,0.5,N-1,No,1,50,80,28
2,0.5,N-1,No,2,45,77,28
2,0.5,N-1,No,3,50,78,28
3,1,N-1,No,1,45,82,28
3,1,N-1,No,2,40,78,28
3,1,N-1,No,3,40,78,28
4,1.5,N-1,No,1,40,82,28
4,1.5,N-1,No,2,40,81,28
4,1.5,N-1,No,3,45,82,28
5,2,N-1,No,1,40,82,28
5,2,N-1,No,2,40,80,28
5,2,N-1,No,3,40,83,28
6,2.5,N-1,No,1,40,84,28
6,2.5,N-1,No,2,45,78,28
6,2.5,N-1,No,3,40,80,28
7,3,N-1,No,1,35,78,28
7,3,N-1,No,2,35,82,28
7,3,N-1,No,3,35,76,28
8,3.5,N-1,No,1,40,82,28
8,3.5,N-1,No,2,35,80,28
8,3.5,N-1,No,3,35,77,28
9,4,N-1,No,1,35,85,28
9,4,N-1,No,2,35,84,28
9,4,N-1,No,3,30,82,28
10,4.5,N-1,No,1,35,83,28
10,4.5,N-1,No,2,30,84,28
10,4.5,N-1,No,3,30,83,28
1,0,N-2,Yes,1,35,59,14
1,0,N-2,Yes,2,35,47,14
1,0,N-2,Yes,3,40,57,14
2,0.5,N-2,Yes,1,35,57,14
2,0.5,N-2,Yes,2,35,56,14
