location,rep,distance,yieldbu,yield
N,1,0,75.6,5084.2
N,2,0,82.4,5541.5
N,3,0,81.9,5507.9
N,1,5,65.8,4425.1
N,2,5,61.7,4149.4
N,3,5,69.9,4700.8
N,1,10,105.7,7108.4
N,2,10,65.8,4425.1
N,3,10,63.7,4283.9
N,1,20,58,3900.6
N,2,20,56.5,3799.7
N,3,20,77.7,5225.4
E,1,0,39.9,2683.3
E,2,0,67.9,4566.3
E,3,0,64.8,4357.9
E,1,5,81.9,5507.9
E,2,5,51.8,3483.6
E,3,5,57.5,3866.9
E,1,10,79.8,5366.6
E,2,10,68.4,4600
E,3,10,66.3,4458.7
E,1,20,60.1,4041.8
E,2,20,61.7,4149.4
E,3,20,57.5,3866.9
S,1,0,66.8,4492.4
S,2,0,62.2,4183
S,3,0,44,2959
S,4,0,43.5,2925.4
S,5,0,53.4,3591.2
S,1,5,68.9,4633.6
S,2,5,73.6,4949.7
S,3,5,66.3,4458.7
S,4,5,66.8,4492.4
S,5,5,78.8,5299.4
S,1,10,72.5,4875.7
S,2,10,77.7,5225.4
S,3,10,69.9,4700.8
S,4,10,74.6,5016.9
S,5,10,74.6,5016.9
S,1,20,68.9,4633.6
S,2,20,75.1,5050.6
S,3,20,63.7,4283.9
S,4,20,62.7,4216.6
S,5,20,69.9,4700.8
W,1,0,31.1,2091.5
W,2,0,30.6,2057.9
W,3,0,37.8,2542.1
W,1,5,32.6,2192.4
W,2,5,38.3,2575.7
W,3,5,29.5,1983.9
W,1,10,37.8,2542.1
W,2,10,31.6,2125.1
W,3,10,40.9,2750.6
W,1,20,29.5,1983.9
W,2,20,30.6,2057.9
W,3,20,51.8,3483.6
