location,rep,distance,yieldbu,yield
Indiana,1,6.096,45,3026.25
Indiana,1,18.288,53,3564.25
Indiana,1,30.48,55,3698.75
Indiana,1,42.672,53,3564.25
Indiana,1,54.864,52,3497
Indiana,1,67.056,56,3766
Indiana,1,79.248,56,3766
Indiana,1,91.44,57,3833.25
Ontario,1,0,66.8,4492.4
Ontario,2,0,62.2,4183
Ontario,3,0,44,2959
Ontario,4,0,43.5,2925.4
Ontario,5,0,53.4,3591.2
Ontario,1,5,68.9,4633.6
Ontario,2,5,73.6,4949.7
Ontario,3,5,66.3,4458.7
Ontario,4,5,66.8,4492.4
Ontario,5,5,78.8,5299.4
Ontario,1,10,72.5,4875.7
Ontario,2,10,77.7,5225.4
Ontario,3,10,69.9,4700.8
Ontario,4,10,74.6,5016.9
Ontario,5,10,74.6,5016.9
Ontario,1,20,68.9,4633.6
Ontario,2,20,75.1,5050.6
Ontario,3,20,63.7,4283.9
Ontario,4,20,62.7,4216.6
Ontario,5,20,69.9,4700.8
Wisconsin,1,2.667,50.9,3425.376313
Wisconsin,2,2.667,60.5,4067.634372
Wisconsin,3,2.667,65,4369.301036
Wisconsin,4,2.667,64.4,4330.376305
Wisconsin,1,13.335,63.8,4291.451574
Wisconsin,2,13.335,57.3,3853.548353
Wisconsin,3,13.335,65.1,4379.032219
Wisconsin,4,13.335,,
Wisconsin,1,43.3578,63.1,4242.795661
Wisconsin,2,43.3578,61.2,4116.290286
Wisconsin,3,43.3578,59.9,4028.709641
Wisconsin,4,43.3578,58.7,3950.86018
